epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.007842730730772018,0.002109055407345295,0.07744092494249344,0.014565164223313332
1,0.004757811781018972,0.0012680105865001678,0.07710036635398865,0.014557026326656342
2,0.004211867693811655,0.0011226240312680602,0.07692819088697433,0.014552788808941841
3,0.003932085353881121,0.0010462193749845028,0.07923872023820877,0.014647798612713814
4,0.0037573373410850763,0.0009999480098485947,0.08156298846006393,0.014770573936402798
5,0.003782275365665555,0.0009837680263444781,0.0842306911945343,0.01493559405207634
6,0.0036913270596414804,0.0009707562276162207,0.07732943445444107,0.014566153287887573
7,0.003652348415926099,0.0009606495150364935,0.0797264575958252,0.014671743847429752
8,0.0037227084394544363,0.0009752712794579566,0.08700976520776749,0.015131832100450993
9,0.003562326543033123,0.0009477760759182274,0.09402172267436981,0.015721963718533516
