Column 1,Column 2,Column 3,Column 4,Column 5
"(0.6786, 0.1339)","(0.7043, 0.1251)","(0.5978, 0.2639)","(0.7648, 0.1684)","(0.7014, 0.0892)"
"(0.5978, 0.2639)","(0.7648, 0.1684)","(0.6786, 0.1339)","(0.7043, 0.1251)","(0.7014, 0.0892)"
