Column 1,Column 2,Column 3,Column 4,Column 5
0.6392 (0.3065),0.7654 (0.1579),0.6012 (0.2797),0.7387 (0.1558),0.7189 (0.0728)
0.6409 (0.3315),0.7374 (0.1949),0.5871 (0.2762),0.7445 (0.1585),0.7065 (0.0662)
