Column,Mean_50,StdDev_50,Mean_th,StdDev_th
Column 1,,,0.6408721240699635,0.33154608312919115
Column 2,0.7445042252112876,0.15852094312481055,0.7374397609904856,0.1948959151745676
Column 3,0.6408721240699635,0.33154608312919115,0.5870654505820712,0.276212276936495
Column 4,0.7374397609904856,0.1948959151745676,0.7445042252112876,0.15852094312481055
Column 5,0.7064533486581682,0.0662271891348134,0.7064533486581682,0.0662271891348134
