Column 1,Column 2,Column 3,Column 4,Column 5
0.7214 (0.1604),0.2824 (0.1445),0.3709 (0.1903),0.6608 (0.1911),0.4431 (0.1801)
0.6909 (0.1284),0.3604 (0.2560),0.4010 (0.2454),0.6189 (0.1541),0.4354 (0.2000)
