Column 1,Column 2,Column 3,Column 4,Column 5
"(0.7484, 0.077)","(0.6011, 0.168)","(0.258, 0.2589)","(0.9402, 0.0664)","(0.6104, 0.166)"
"(0.258, 0.2589)","(0.9402, 0.0664)","(0.4989, 0.3584)","(0.6011, 0.168)","(0.6104, 0.166)"
