Column 1,Column 2,Column 3,Column 4,Column 5
"(0.7045, 0.094)","(0.7445, 0.1585)","(0.6409, 0.3315)","(0.7374, 0.1949)","(0.7065, 0.0662)"
"(0.6409, 0.3315)","(0.7374, 0.1949)","(0.5871, 0.2762)","(0.7445, 0.1585)","(0.7065, 0.0662)"
