Column 1,Column 2,Column 3,Column 4,Column 5
"(0.7484046546546547, 0.07704179504084488)","(0.6010923116501761, 0.16795650773420265)","(0.2580034761238606, 0.25894553716389535)","(0.9402295258350283, 0.06635297679849557)","(0.6103604930908612, 0.1659793974775368)"
"(0.2580034761238606, 0.25894553716389535)","(0.9402295258350283, 0.06635297679849557)","(0.4989364364364364, 0.35836537582569106)","(0.6010923116501761, 0.16795650773420265)","(0.6103604930908612, 0.1659793974775368)"
